@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00788 , -0.007311 , 0.003158 , -0.0819 , 0.0211 , -3.7200 , 1.4348
0.0051 , -0.009546 , 0.000717 , -0.1275 , -0.0606 , -3.5376 , 1.6167
0.00231 , -0.008336 , -0.001615 , -0.0938 , -0.0996 , -3.5704 , 0.7039
0.00013 , -0.007959 , -0.003786 , -0.0664 , -0.1388 , -3.6230 , -0.2593
0.00128 , -0.006426 , -0.005891 , -0.0383 , -0.1760 , -3.6861 , -1.1852
0.00378 , -0.004662 , -0.004835 , 0.0342 , -0.0855 , -4.2647 , -0.8417
0.00918 , -0.002038 , -0.001561 , 0.1131 , 0.0045 , -4.7162 , -0.5100
0.01293 , -0.000575 , 0.001684 , 0.1946 , 0.0985 , -5.1985 , -0.1562
0.01645 , -1.8E-05 , 0.004084 , 0.1545 , 0.1440 , -5.6578 , 0.1613
0.0182 , -0.003484 , 0.005947 , 0.1140 , 0.1914 , -6.1076 , 0.4874
0.01914 , -0.004929 , 0.007799 , 0.0760 , 0.2389 , -6.6017 , 0.8256
0.0162 , -0.008272 , 0.006995 , -0.0186 , 0.1452 , -7.0592 , 1.1491
0.01548 , -0.012577 , 0.004271 , -0.1104 , 0.0498 , -7.5502 , 1.5129
0.01205 , -0.016379 , 0.00148 , -0.2061 , -0.0463 , -8.0294 , 1.8743
0.00706 , -0.018479 , -0.000836 , -0.2020 , -0.1202 , -8.4722 , 2.2697
0.00115 , -0.018878 , -0.002692 , -0.2010 , -0.1906 , -8.8794 , 2.6710
-0.00195 , -0.018707 , -0.004542 , -0.2020 , -0.2599 , -9.2448 , 3.1026
-0.00301 , -0.016721 , -0.003342 , -0.1015 , -0.1691 , -9.5518 , 3.5306
-0.00121 , -0.01358 , 6.4E-05 , 0.0002 , -0.0758 , -9.8190 , 3.9683
0.00475 , -0.010431 , 0.003434 , 0.1032 , 0.0176 , -10.0629 , 4.3759
0.00977 , -0.008413 , 0.007017 , 0.1232 , 0.1196 , -10.0625 , 4.9196
0.0133 , -0.008353 , 0.010804 , 0.1417 , 0.2216 , -10.0991 , 5.4483
0.0209 , -0.008364 , 0.014641 , 0.1596 , 0.3229 , -10.1411 , 6.0002
0.02171 , -0.008811 , 0.01532 , 0.0692 , 0.2568 , -9.1060 , 6.4504
0.01855 , -0.011761 , 0.01372 , -0.0193 , 0.1944 , -8.0137 , 6.8932
0.01601 , -0.01339 , 0.012156 , -0.1096 , 0.1351 , -6.9108 , 7.2662
0.0125 , -0.014677 , 0.00983 , -0.1302 , 0.0391 , -6.7279 , 7.4741
0.0075 , -0.014687 , 0.006959 , -0.1515 , -0.0581 , -6.5648 , 7.7368
0.00523 , -0.01545 , 0.004124 , -0.1739 , -0.1545 , -6.4310 , 8.0135
0.00211 , -0.012233 , 0.003631 , -0.0777 , -0.1009 , -5.5892 , 7.5146
