@relation whatever

@attribute obs_lon numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00046 , -0.001407 , -0.000165 , 0.1245 , 0.0218 , -5.5588 , -0.0387
-0.00253 , -0.00355 , 0.002321 , 0.0822 , 0.0866 , -5.2167 , 0.6327
-0.00511 , -0.004812 , 0.005069 , 0.0408 , 0.1526 , -4.8770 , 1.2764
-0.00671 , -0.007142 , 0.00587 , -0.0134 , 0.1122 , -5.6687 , 1.9842
-0.00928 , -0.010289 , 0.005323 , -0.0677 , 0.0728 , -6.4655 , 2.7242
-0.01202 , -0.013449 , 0.004866 , -0.1215 , 0.0354 , -7.2983 , 3.5025
-0.0113 , -0.013777 , 0.004255 , -0.1041 , 0.0040 , -7.4722 , 3.7068
-0.01204 , -0.013984 , 0.003495 , -0.0865 , -0.0274 , -7.6472 , 3.9546
-0.01168 , -0.013462 , 0.002764 , -0.0700 , -0.0584 , -7.7687 , 4.2361
-0.00904 , -0.01093 , 0.0038 , 0.0018 , 0.0020 , -7.8660 , 4.5704
-0.00517 , -0.008881 , 0.005924 , 0.0730 , 0.0596 , -7.9502 , 4.8593
-0.00244 , -0.006825 , 0.007904 , 0.1444 , 0.1140 , -8.0318 , 5.1151
-0.00126 , -0.005563 , 0.009896 , 0.1223 , 0.1673 , -8.1233 , 5.3994
-0.00231 , -0.007996 , 0.011945 , 0.0996 , 0.2223 , -8.2061 , 5.6435
-0.00568 , -0.0083 , 0.013943 , 0.0784 , 0.2792 , -8.3039 , 5.8712
-0.00813 , -0.011284 , 0.014037 , 0.0019 , 0.2308 , -8.3969 , 6.1246
-0.01156 , -0.013718 , 0.012884 , -0.0741 , 0.1880 , -8.4980 , 6.3494
