@relation whatever

@attribute obs_lon numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00361 , 0.003498 , -0.018977 , -0.0678 , -0.3233 , 4.4032 , -9.6596
0.01072 , 0.00743 , -0.017083 , 0.0625 , -0.2015 , 4.2386 , -9.3956
0.01554 , 0.012578 , -0.01272 , 0.1947 , -0.0729 , 4.0753 , -9.1347
0.01457 , 0.016561 , -0.008366 , 0.3320 , 0.0594 , 3.9130 , -8.8716
0.01491 , 0.016743 , -0.005427 , 0.2475 , 0.1128 , 3.7666 , -8.6213
0.01202 , 0.013048 , -0.003518 , 0.1595 , 0.1642 , 3.6194 , -8.3717
0.00714 , 0.008521 , -0.00164 , 0.0672 , 0.2149 , 3.4714 , -8.1227
0.00017 , 0.004622 , -0.003516 , -0.0546 , 0.0679 , 3.3209 , -7.9043
-0.0063 , -0.000501 , -0.008102 , -0.1773 , -0.0808 , 3.1618 , -7.6841
-0.01008 , -0.004181 , -0.012658 , -0.2984 , -0.2287 , 2.9965 , -7.4813
-0.01103 , -0.005458 , -0.015268 , -0.2297 , -0.2704 , 2.8052 , -7.3025
-0.00921 , -0.002317 , -0.016516 , -0.1633 , -0.3125 , 2.6257 , -7.1284
-0.00224 , 9E-05 , -0.01776 , -0.0980 , -0.3574 , 2.4427 , -6.9511
0.00423 , 0.00482 , -0.014998 , 0.0558 , -0.1946 , 2.6869 , -6.6694
0.01231 , 0.010536 , -0.009276 , 0.2073 , -0.0265 , 2.9412 , -6.3707
0.01637 , 0.01566 , -0.003476 , 0.3606 , 0.1450 , 3.1997 , -6.0693
0.01644 , 0.016534 , 0.000595 , 0.2820 , 0.2243 , 3.1589 , -5.8607
0.01233 , 0.013436 , 0.003344 , 0.2058 , 0.3024 , 3.1282 , -5.6320
0.0097 , 0.009677 , 0.006004 , 0.1312 , 0.3774 , 3.1136 , -5.3881
0.0017 , 0.004757 , 0.004049 , -0.0066 , 0.2185 , 2.5776 , -5.5067
-0.0058 , -0.000845 , -0.001267 , -0.1478 , 0.0592 , 2.0324 , -5.6515
-0.00797 , -0.006463 , -0.00663 , -0.2888 , -0.1016 , 1.4898 , -5.8052
-0.00541 , -0.007518 , -0.010379 , -0.2480 , -0.1847 , 1.3337 , -5.7196
-0.00339 , -0.005301 , -0.012941 , -0.2060 , -0.2660 , 1.1936 , -5.6474
-0.00106 , -0.004311 , -0.015122 , -0.1636 , -0.3460 , 1.0684 , -5.5933
0.00631 , 0.00061 , -0.013328 , -0.0046 , -0.2007 , 0.9360 , -5.5342
0.01197 , 0.005379 , -0.008495 , 0.1515 , -0.0523 , 0.8228 , -5.4786
0.01432 , 0.011484 , -0.00356 , 0.3077 , 0.0969 , 0.6905 , -5.3778
0.01336 , 0.012133 , -9.3E-05 , 0.2587 , 0.1682 , 0.5642 , -5.2657
0.01495 , 0.009315 , 0.002312 , 0.2092 , 0.2385 , 0.4237 , -5.1371
0.00701 , 0.007799 , 0.004744 , 0.1595 , 0.3103 , 0.2628 , -4.9838
-0.00293 , 0.002588 , 0.00276 , 0.0091 , 0.1470 , 0.1200 , -4.8757
-0.00617 , -0.002261 , -0.002438 , -0.1411 , -0.0159 , -0.0471 , -4.7360
-0.01109 , -0.0084 , -0.007723 , -0.2906 , -0.1812 , -0.1701 , -4.6928
-0.01262 , -0.009478 , -0.011458 , -0.2546 , -0.2610 , -0.2907 , -4.6521
-0.0095 , -0.008125 , -0.014011 , -0.2172 , -0.3386 , -0.3839 , -4.6655
-0.00636 , -0.006135 , -0.016518 , -0.1817 , -0.4151 , -0.4683 , -4.6733
