@relation whatever

@attribute obs_lon numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00949 , -0.0972 , -0.2248 , -2.6969 , 2.0327
-0.00984 , -0.0063 , -0.1183 , -3.4135 , 2.0351
-0.00825 , 0.0907 , -0.0103 , -4.1103 , 2.0470
-0.00327 , 0.2022 , 0.1056 , -4.7522 , 2.1010
0.00102 , 0.1969 , 0.1787 , -5.2772 , 2.1692
0.00039 , 0.2003 , 0.2501 , -5.8076 , 2.2290
-0.00123 , 0.2130 , 0.3197 , -6.3471 , 2.2912
-0.00925 , 0.0987 , 0.1965 , -6.9039 , 2.3413
-0.01524 , -0.0238 , 0.0681 , -7.4778 , 2.3792
-0.02046 , -0.2200 , 0.0050 , -8.1480 , 2.4275
-0.02248 , -0.1910 , -0.0141 , -8.8280 , 2.4815
-0.02568 , -0.1157 , -0.2265 , -9.5027 , 2.5506
-0.0242 , -0.1681 , -0.3977 , -10.0804 , 2.6067
-0.02082 , -0.1067 , -0.2712 , -10.5974 , 2.6776
-0.00729 , -0.0030 , -0.1622 , -11.0911 , 2.7686
-0.00092 , 0.0845 , -0.0832 , -11.5548 , 2.8379
-0.00512 , 0.1107 , 0.1121 , -11.4405 , 3.5425
-0.00994 , 0.1422 , 0.0642 , -11.3247 , 4.2340
-0.01013 , 0.0034 , 0.2878 , -11.1890 , 4.9304
-0.01156 , -0.0380 , 0.2116 , -10.3494 , 5.2977
-0.01583 , -0.1079 , 0.2127 , -9.5897 , 5.5668
-0.01825 , -0.2119 , 0.2365 , -8.7951 , 5.8801
-0.02124 , -0.2332 , 0.1071 , -8.3760 , 6.1301
-0.02572 , -0.2587 , -0.0139 , -7.8670 , 6.3351
-0.02339 , -0.2825 , -0.1387 , -7.2616 , 6.4789
-0.01904 , -0.1673 , -0.1058 , -7.1116 , 5.6981
-0.01177 , -0.0596 , -0.0838 , -6.9776 , 4.9524
-0.00462 , 0.0474 , -0.0716 , -6.8550 , 4.2038
0.00247 , 0.1182 , 0.0410 , -6.8151 , 3.4330
0.00512 , 0.1860 , 0.1509 , -6.7691 , 2.6948
0.00343 , 0.2554 , 0.2585 , -6.7549 , 1.9345
