@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00489 , 0.1245 , 0.0218 , -5.5588 , -0.0387
0.0071 , 0.0822 , 0.0866 , -5.2167 , 0.6327
0.00968 , 0.0408 , 0.1526 , -4.8770 , 1.2764
0.01203 , -0.0134 , 0.1122 , -5.6687 , 1.9842
0.01229 , -0.0677 , 0.0728 , -6.4655 , 2.7242
0.01024 , -0.1215 , 0.0354 , -7.2983 , 3.5025
0.00934 , -0.1041 , 0.0040 , -7.4722 , 3.7068
0.00841 , -0.0865 , -0.0274 , -7.6472 , 3.9546
0.00745 , -0.0700 , -0.0584 , -7.7687 , 4.2361
0.00778 , 0.0018 , 0.0020 , -7.8660 , 4.5704
0.01051 , 0.0730 , 0.0596 , -7.9502 , 4.8593
0.01248 , 0.1444 , 0.1140 , -8.0318 , 5.1151
0.01523 , 0.1223 , 0.1673 , -8.1233 , 5.3994
0.01953 , 0.0996 , 0.2223 , -8.2061 , 5.6435
0.02166 , 0.0784 , 0.2792 , -8.3039 , 5.8712
0.02066 , 0.0019 , 0.2308 , -8.3969 , 6.1246
0.01887 , -0.0741 , 0.1880 , -8.4980 , 6.3494
